State,Branch,Type,Election_Date,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers,Bio_Length,bio_polarity,bio_subjectivity,bio_profanity
Alaska,Senate,Primary,2022-08-16,D,Patricia Chesbro,1,12945,0,ChooseChesbro,I Pat Chesbro I Democrat running US Senate Alaska Paid Chesbro Alaska PO Box 1311 Palmer AK 99645,192,899,26,0,0,0.023460264
Arizona,Senate,General,2022-11-08,R,Blake Masters,0,1005001,0,bgmasters,Senate Arizona Endorsed President Trump,2521,277356,8,0,0,0.007441378
Arizona,Senate,General,2022-11-08,D,Mark Kelly,1,1128917,1,CaptMarkKelly,combat veteran retired NASA astronaut Husband GabbyGiffords United States Senator great state Arizona,1538,495882,17,0.4,0.375,0.134004043
Arizona,Senate,Primary,2022-08-02,R,Blake Masters,1,327198,0,bgmasters,Senate Arizona Endorsed President Trump,2521,277356,8,0,0,0.007441378
Arizona,Senate,Primary,2022-08-02,R,Jim Lamon,0,228467,0,jim_lamon,Founder DEPCOM Power US Army Paratrooper Officer Bama Linebacker,230,6085,9,0,0,0.016877617
Arizona,Senate,Primary,2022-08-02,R,Justin Olson,0,41985,0,_JustinOlson,Candidate Senate Arizona Inquiries OlsonForSenate,344,1435,7,0,0,0.023624643
Arizona,Senate,Primary,2022-08-02,R,Mark Brnovich,0,144092,0,GeneralBrnovich,General Arizona Fighting Justice Upholding Rule Law GoDevils MusicBuff AZAG NunChuckEnthusiast,2579,51848,16,0.05,0.5,0.01958685
Arizona,Senate,Primary,2022-08-02,R,Michael McGuire,0,71100,0,NO_HANDLE,None,0,0,0,,,
Arkansas,Senate,General,2022-11-08,R,John Boozman,1,587990,1,JohnBoozman,Senator Arkansas serving SenateAgGOP leader Appropriations EPW Veterans Affairs committees ServingAR ARinDC,790,106111,17,0,0,0.096168609
Arkansas,Senate,General,2022-11-08,D,Natalie James,0,276792,0,JamesForAR,Black person ever Dem nominee US Senate Arkansas Living Environmental,15706,29745,15,-0.166666667,0.433333333,0.249711751
