State,Branch,Type,Election_Date,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers,Bio_Length,bio_polarity,bio_subjectivity,bio_profanity
North Carolina,Senate,Primary,2022-05-17,R,Mark Walker,0,70486,0,RepMarkWalker,Member Congress Pastor President Advancing Hope USA,2024,41854,9,0,0,0.015520912
North Carolina,Senate,Primary,2022-05-17,R,Pat McCrory,0,188135,0,PatMcCroryNC,Governor North Carolina Conservative Leadership Built North Carolina Not Washington Candidate US Senate,686,43468,16,0,0,0.018414889
North Carolina,Senate,Primary,2022-05-17,D,Robert Colon,0,6904,0,NO_HANDLE,None,0,0,0,,,
North Carolina,Senate,Primary,2022-05-17,R,Ted Budd,1,448128,0,RepTedBudd,serving 13th district North Carolina Instagram reptedbudd,709,47983,9,0,0,0.039618184
North Dakota,Senate,General,2022-11-08,R,John Hoeven,1,114031,1,SenJohnHoeven,Senator North Dakota serving Senate Agriculture Energy Appropriations Indian Affairs committees,768,119036,14,0,0,0.048985074
North Dakota,Senate,General,2022-11-08,D,Katrina Christiansen,0,51076,0,katrina_senate,US Senate Candidate https Engineer Proud Progressive Democrat runner reader Educator,766,1909,12,0.8,1,0.012355463
North Dakota,Senate,Primary,2022-06-14,R,John Hoeven,1,4917,1,SenJohnHoeven,Senator North Dakota serving Senate Agriculture Energy Appropriations Indian Affairs committees,768,119036,14,0,0,0.048985074
North Dakota,Senate,Primary,2022-06-14,D,Katrina Christiansen,1,4456,0,katrina_senate,US Senate Candidate https Engineer Proud Progressive Democrat runner reader Educator,766,1909,12,0.8,1,0.012355463
North Dakota,Senate,Primary,2022-06-14,D,Michael Steele,0,1391,0,NO_HANDLE,None,0,0,0,,,
North Dakota,Senate,Primary,2022-06-14,R,Riley Kuntz,0,1304,0,NO_HANDLE,None,0,0,0,,,
Ohio,Senate,General,2022-11-08,R,J.D. Vance,1,2147898,0,JDVance1,husband dad Ohio Author hillbillyelegy NaryaVC,1111,329683,8,0,0,0.289164391
Ohio,Senate,General,2022-11-08,D,Tim Ryan,0,1883223,0,TimRyan,dad husband Ohio native Browns fan,2092,314622,7,0,0,0.224824317
Ohio,Senate,Primary,2022-08-21,R,J.D. Vance,1,344736,0,JDVance1,husband dad Ohio Author hillbillyelegy NaryaVC,1111,329683,8,0,0,0.289164391
Ohio,Senate,Primary,2022-08-21,R,Jane Timken,0,62779,0,JaneTimkenOH,None,2664,16892,0,,,
Ohio,Senate,Primary,2022-08-21,R,Josh Mandel,0,255854,0,JoshMandelOhio,dad Marine vet Former State Treasurer Ohio,4125,78062,8,0,0,0.027020373
Ohio,Senate,Primary,2022-08-21,R,Mark Pukita,0,22692,0,Mark4Ohio,Campaign Twitter Entrepreneur Businessperson Candidate US Senate Join Social Media Army Beat Swamp Personal mpukita,356,1109,18,0.016666667,0.183333333,0.036818422
Ohio,Senate,Primary,2022-08-21,R,Matt Dolan,0,249239,0,dolan4ohio,Husband Business Owner Public Servant A proud Ohioan OhioMatters,1535,3823,9,0.4,0.533333333,0.305257552
Ohio,Senate,Primary,2022-08-21,R,Mike Gibbons,0,124653,0,MikeGibbonsOH,I businessman politician I running Senate Ohio preserve American Dream,503,3425,18,0,0,0.02943858
Ohio,Senate,Primary,2022-08-21,D,Morgan Harper,0,92347,0,mh4oh,Breaking monopolies econliberties Frmr cfpb US senate candidate views MORGANIZE,3575,28955,14,0,0,0.05599226
Ohio,Senate,Primary,2022-08-21,D,Tim Ryan,1,359941,0,TimRyan,dad husband Ohio native Browns fan,2092,314622,7,0,0,0.224824317
Ohio,Senate,Primary,2022-08-21,D,Traci Johnson,0,65209,0,Traci_TJJohnson,Servant Driven Business Woman Focused Community Activist Unique Ohioan Proud American running next United States Senator OHIO,255,168,21,0.29375,0.5,0.039620946
Oklahoma,Senate,General,2022-11-08,R,James Lankford,1,739302,1,SenatorLankford,Christ husband Cindy father two daughters serving state Oklahoma United States Senate,749,121439,19,0,0,0.111746905
Oklahoma,Senate,General,2022-11-08,D,Madison Horn,0,368969,0,madisonhornok,US Senate Nominee Cybersecurity Critical Infrastructure Foreign Policy Bringing logic back politics Individual defying party politics,9366,19810,17,-0.03125,0.33125,0.025539403
Oklahoma,Senate,Primary,2022-06-28,D,Arya Azma,0,11469,0,NO_HANDLE,None,0,0,0,,,
Oklahoma,Senate,Primary,2022-06-28,D,Brandon Wade,0,19970,0,NO_HANDLE,None,0,0,0,,,
Oklahoma,Senate,Primary,2022-06-28,D,Dennis Baker,0,22458,0,DennisLBaker,lawyer former FBI Special Agent Tsoyaha American fighting living wage jobs public education health access safe communities,5861,6431,21,0.171428571,0.227619048,0.029756117
