State,Branch,Type,Party,Candidate,Win,Votes,Incumbent,Handle,Bio,Following,Followers
Vermont,Senate,Primary,D,Peter Welch,1,40900,0,PeterWelch,"['Official Twitter Account for Congressman Peter Welch, proudly representing the great state of Vermont in the U.S. House of Representatives.']",2025,37244
Idaho,Senate,Primary,R,Ramont Turnbull,0,20833,0,RamontTurnbull,['My name is Ramont Turnbull. I am running as a Republican for the office of U.S. Senator representing the great state of Idaho.'],17,4
Kentucky,Senate,General,R,Rand Paul,1,910397,1,RandPaul,"['U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great.']",586,4372985
Kentucky,Senate,Primary,R,Rand Paul,1,333051,1,RandPaul,"['U.S. Senator for Kentucky | I fight for the Constitution, individual liberty and the freedoms that make this country great.']",586,4372985
Georgia,Senate,General,D,Raphael Warnock,1,1941275,1,ReverendWarnock,['Pastor. Advocate. Savannah born & raised. @Morehouse alum. Senator from Georgia. | Join us @TeamWarnock'],956,1217619
Georgia,Senate,Primary,D,Raphael Warnock,1,702610,1,ReverendWarnock,['Pastor. Advocate. Savannah born & raised. @Morehouse alum. Senator from Georgia. | Join us @TeamWarnock'],956,1217619
Washington,Senate,Primary,D,Ravin Pierre,0,9997,0,NO_HANDLE,None,0,0
Maryland,Senate,Primary,R,Reba Hawkins,0,15480,0,rebahawkins2020,['I am Reba Hawkins. I am Small Business Owner running for MD-3.'],567,197
Florida,Senate,Primary,D,Ricardo De La Fuente,0,53681,0,Ricky4Congress,['Candidate for US Senate Florida 2022'],771,2863
Connecticut,Senate,General,D,Richard Blumenthal,1,714836,1,SenBlumenthal,"['Official Twitter account of U.S. Senator Richard Blumenthal, proudly working for the people of Connecticut.']",981,713216
North Dakota,Senate,Primary,R,Riley Kuntz,0,1304,0,NO_HANDLE,None,0,0
North Carolina,Senate,Primary,D,Robert Colon,0,6904,0,NO_HANDLE,None,0,0
Oregon,Senate,Primary,R,Robert Fleming,0,6821,0,NO_HANDLE,None,0,0
Kansas,Senate,Primary,D,Robert Klingenberg,0,20153,0,RobertforKansas,['Progressive-Leftist Working Class Man in Kansas leftist progressive democrat wecanwin workingclass union dsa opposition not moderation'],1311,515
Colorado,Senate,Primary,R,Ron Hanks,0,200310,0,HanksUSSenate,['Official Ron Hanks for US Senate Twitter Profile. Currently representing District 60 in Colorado House of Representatives. Served 32 years in the US Air Force.'],72,563
Wisconsin,Senate,General,R,Ron Johnson,1,1334680,1,SenRonJohnson,['Proud to serve Wisconsin in the U.S. Senate.'],1002,436275
Wisconsin,Senate,Primary,R,Ron Johnson,1,118878,1,SenRonJohnson,['Proud to serve Wisconsin in the U.S. Senate.'],1002,436275
Oregon,Senate,General,D,Ron Wyden,1,736343,1,RonWyden,['U.S. Senator from Oregon. @SenateFinance Chairman. Follow @WydenPress for updates from my staff. Instagram: https://t.co/F6XmPUnCO8. He/him.'],622,515309
Oregon,Senate,Primary,D,Ron Wyden,1,439665,1,RonWyden,['U.S. Senator from Oregon. @SenateFinance Chairman. Follow @WydenPress for updates from my staff. Instagram: https://t.co/F6XmPUnCO8. He/him.'],622,515309
Missouri,Senate,Primary,D,Ronald William Harris,0,4063,0,NO_HANDLE,None,0,0
Kentucky,Senate,General,D,Ruth Gao,0,18154,0,ruthgao4ky,"['Ran in 2022 Democratic US Senate KY Race 🗳️, Kentuckian 🐎, Average Citizen 👱, Cat Mom 🐱, Common Ground for the Common Wealth']",2766,10242
Nevada,Senate,Primary,R,Sam Brown,0,59469,0,CaptainSamBrown,['Husband | Father | Duty First'],421,73392
Oregon,Senate,Primary,R,Samuel Palmer,0,42703,0,NO_HANDLE,None,0,0
Wisconsin,Senate,Primary,D,Sarah Godlewski,0,40835,0,SarahforWI,"[""Hartley's mom. 👩\u200d👦 State Treasurer. 💸 Proud western Wisconsinite. 🧀""]",1031,36848
Idaho,Senate,Primary,R,Scott Trotter,0,27699,0,NO_HANDLE,None,0,0
Pennsylvania,Senate,Primary,R,Sean Gale,0,20266,0,NO_HANDLE,None,0,0
Nevada,Senate,Primary,R,Sharelle Mendenhall,0,5604,0,Sharelle4Senate,"['Entrepreneur, Inventor and Lover of God!']",793,1383
Missouri,Senate,Primary,D,Spencer Toder,0,17412,0,SpencerToder,"['Built a foundation as a U.S. Senate Candidate attempting to win one seat. Now, continuing the work to help thousands of candidates win theirs. (He/Him)']",6194,12728
Nevada,Senate,Primary,D,Stephanie Kasheta,0,2427,0,NO_HANDLE,None,0,0
Hawaii,Senate,Primary,D,Steve Talaii,0,13592,0,NO_HANDLE,None,0,0
Hawaii,Senate,Primary,R,Steven Bond,0,5273,0,NO_HANDLE,None,0,0
